Wavelength 	             Flux
2.124769999999999982e+03 5.885994348718443306e-03
2.126783999999999651e+03 4.778921709044653930e-03
2.128797999999999774e+03 5.459526243619360064e-03
2.130811999999999898e+03 4.303783906956759955e-03
2.132825999999999567e+03 4.257730860343691623e-03
2.134839999999999691e+03 5.794687022449113503e-03
2.136853999999999814e+03 6.551403948655065874e-03
2.138867999999999938e+03 3.727179748281081798e-03
2.140881999999999607e+03 3.701963501765374864e-03
2.142895999999999731e+03 4.641386892803873315e-03
2.144909999999999854e+03 5.289168532314440264e-03
2.146923999999999978e+03 3.790548593520993124e-03
2.148937999999999647e+03 3.153013206008070494e-03
2.150951999999999771e+03 3.596379363796817132e-03
2.152965999999999894e+03 2.623563841472089254e-03
2.154979999999999563e+03 0.000000000000000000e+00
2.156993999999999687e+03 0.000000000000000000e+00
2.159007999999999811e+03 1.888179501750479302e-03
2.161021999999999935e+03 3.234042145976895842e-03
2.163035999999999603e+03 1.774442432084871778e-03
2.165049999999999727e+03 1.866911183871856504e-03
2.167063999999999851e+03 3.196302702575177981e-03
2.169077999999999975e+03 2.566878931227056272e-03
2.171091999999999643e+03 2.244085268383707449e-03
2.173105999999999767e+03 2.471091165016104426e-03
2.175119999999999891e+03 1.606866633284689426e-03
2.177133999999999560e+03 0.000000000000000000e+00
2.179147999999999683e+03 7.550459424572330018e-04
2.181161999999999807e+03 7.507169928005220363e-04
2.183175999999999931e+03 0.000000000000000000e+00
2.185189999999999600e+03 0.000000000000000000e+00
2.187203999999999724e+03 1.332825298494647558e-03
2.189217999999999847e+03 1.055607258336160046e-03
2.191231999999999971e+03 3.735107739858111722e-05
2.193245999999999640e+03 1.084964239306112797e-03
2.195259999999999764e+03 2.216803245255570889e-03
2.197273999999999887e+03 4.177266565982263018e-04
2.199287999999999556e+03 1.230514268803116094e-03
2.201301999999999680e+03 1.074433369197422923e-03
2.203315999999999804e+03 0.000000000000000000e+00
2.205329999999999927e+03 2.042571055148674226e-03
2.207343999999999596e+03 3.399148194071554240e-03
2.209357999999999720e+03 1.372479028223881582e-03
2.211371999999999844e+03 0.000000000000000000e+00
2.213385999999999967e+03 0.000000000000000000e+00
2.215399999999999636e+03 3.898579529121604928e-04
2.217413999999999760e+03 2.023340970194314418e-03
2.219427999999999884e+03 1.444101798684117258e-03
2.221441999999999553e+03 1.284931415389171418e-03
2.223455999999999676e+03 1.862696999582502113e-03
2.225469999999999800e+03 1.492776086287622359e-03
2.227483999999999924e+03 0.000000000000000000e+00
2.229497999999999593e+03 0.000000000000000000e+00
2.231511999999999716e+03 8.320672757979477672e-04
2.233525999999999840e+03 3.056908687383212287e-06
2.235539999999999964e+03 3.149978809695147520e-04
2.237553999999999633e+03 3.474535268581103488e-03
2.239567999999999756e+03 3.882429746627109705e-03
2.241581999999999880e+03 2.189893061917671992e-03
2.243595999999999549e+03 2.225447372724909719e-03
2.245609999999999673e+03 1.958457222105289275e-03
2.247623999999999796e+03 1.755405152947671268e-03
2.249637999999999920e+03 1.723188219023178780e-03
2.251651999999999589e+03 1.809390781752464109e-03
2.253665999999999713e+03 3.301928156075984149e-03
2.255679999999999836e+03 3.596016705235969505e-03
2.257693999999999960e+03 2.466537275239373377e-03
2.259707999999999629e+03 2.641311157880195382e-03
2.261721999999999753e+03 4.402174551699371968e-03
2.263735999999999876e+03 3.473718139165519591e-03
2.265749999999999545e+03 2.282660203659784941e-03
2.267763999999999669e+03 3.652513400278535605e-03
2.269777999999999793e+03 4.572890330950445462e-03
2.271791999999999916e+03 4.465189919607822668e-03
2.273805999999999585e+03 3.255301282626130773e-03
2.275819999999999709e+03 1.252287554298109730e-03
2.277833999999999833e+03 2.749231918728142592e-03
2.279847999999999956e+03 2.365341764918552948e-03
2.281861999999999625e+03 6.438658451763424077e-04
2.283875999999999749e+03 9.540077739222422529e-04
2.285889999999999873e+03 2.156923267183316530e-03
2.287903999999999542e+03 3.040139171904988804e-03
2.289917999999999665e+03 5.045498704341788709e-03
2.291931999999999789e+03 4.302172601199066165e-03
2.293945999999999913e+03 1.721843168917753294e-03
2.295959999999999582e+03 2.697500281738244958e-03
2.297973999999999705e+03 3.460221731964322357e-03
2.299987999999999829e+03 4.752112519230028941e-03
2.302001999999999953e+03 5.698192301575241703e-03
2.304015999999999622e+03 5.088191420998641051e-03
2.306029999999999745e+03 5.592883600488342093e-03
2.308043999999999869e+03 5.641911365423306519e-03
2.310057999999999538e+03 6.427549164203255443e-03
2.312071999999999662e+03 7.490965058134394471e-03
2.314085999999999785e+03 6.727086773005356082e-03
2.316099999999999909e+03 7.041911128739425894e-03
2.318113999999999578e+03 6.254345271787878358e-03
2.320127999999999702e+03 4.903602804141436559e-03
